owner,repo,description,language,size_kb,stargazers_count,created_at,contributors_count,category
bradtraversy,50projects50days,"50+ mini web projects using HTML, CSS & JS",HTML,1134,0,2020-09-03,40,web_application
john-smilga,react-projects,React tutorial projects,JavaScript,10058,0,2023-05-19,1,web_application
john-smilga,javascript-basic-projects,JavaScript basic projects,Unknown,48540,0,2024-04-20,1,web_application
bradtraversy,vanillawebprojects,Vanilla web projects,Unknown,62719,0,2024-02-25,1,web_application
bradtraversy,expense-tracker-react,React expense tracker,Unknown,1430,0,2021-10-20,1,web_application
bradtraversy,react-crash-2021,React crash course 2021,Unknown,2535,0,2021-12-04,1,web_application
bradtraversy,taskmanager,Task manager app,Unknown,9714,0,2015-05-22,1,web_application
bradtraversy,contact-keeper,Contact keeper app,JavaScript,1817,0,2022-02-18,1,web_application
bradtraversy,expense-tracker-mern,MERN expense tracker,JavaScript,1522,0,2022-11-30,1,web_application
bradtraversy,mern-auth,MERN authentication,Unknown,481,0,2023-06-02,1,web_application
justmarkham,pycon-2016-tutorial,Python data science tutorial,Unknown,12561,0,2016-06-09,1,data_science
justmarkham,pandas-videos,Pandas tutorial videos,Unknown,6706,0,2024-03-05,1,data_science
justmarkham,scikit-learn-videos,Scikit-learn tutorial videos,Unknown,2398,0,2024-03-05,1,data_science
sindresorhus,meow,CLI app helper,JavaScript,1327,0,2024-03-03,1,library
sindresorhus,boxen,Create boxes in the terminal,Unknown,178,0,2024-08-05,1,library
sindresorhus,ora,Elegant terminal spinner,Unknown,921,0,2025-02-02,1,library
sindresorhus,chalk,Terminal string styling done right,JavaScript,733,0,2025-08-17,1,library
sindresorhus,np,npm publish helper,JavaScript,1483,0,2025-08-10,1,library
sindresorhus,trash,Safe file deletion,Unknown,1040,0,2024-07-26,1,library
sindresorhus,awesome-nodejs,A curated list of awesome Node.js packages and resources,Unknown,376,0,2025-07-16,1,library
jwasham,coding-interview-university,A complete computer science study plan to become a software engineer,Markdown,9198,0,2024-12-06,1,educational
ossu,computer-science,Path to a free self-taught education in Computer Science,Markdown,1159,0,2025-07-16,1,educational
EbookFoundation,free-programming-books,Freely available programming books,Markdown,2903,0,2025-08-18,1,educational
practical-tutorials,project-based-learning,Curated list of project-based tutorials,Unknown,106,0,2023-03-21,1,educational
